YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
198803	125.13	143.13	127.29	133.99	178.09	124.46	266.61	164.9	202.35	145.94	156.81	153.18	155.3	108.42	109.96	151.44	129.62	117.25	135.44	101.17	315.41	179.26	237.86	133.31	133.27	144.06	121.7	113.96	155.37	109.66	118.49	228.59	247.22	131.61	128.26	282.63	132.09	96.82	105.03	182.84	153.18	255.59	150.57	119.02	144.24	114.78	112.53	174.39	153.18	200.66	126.26	124.39	100.12	81.89	153.18
198804	130.5	141.92	126.61	134.5	187.91	123.73	266.58	169.88	207.99	147.08	156.59	154.61	166.28	108.02	109.82	152.83	131	118.95	136.67	99.81	317.64	183.36	239.94	134.48	134.06	143.81	124.07	112.73	156.15	104.9	118.39	228.05	246.54	129.91	129.41	283.49	133.34	97.52	105.6	184.55	154.61	257.71	151.04	117.85	143.92	113.78	112.38	177.91	154.61	202.96	127.71	125.03	100.16	82.22	154.61
198901	126.94	142.11	127.69	132.99	196.65	124.01	262.32	179.9	210.96	148.22	157.7	156.39	178.34	109.89	113.92	155.68	132.05	117.94	138.32	100.55	314.95	188.04	240.9	136.5	134.52	143.72	119.47	110.79	156.65	108.85	119.43	228.67	245.91	130.73	130.06	283.29	134.91	97.94	107.88	186.83	156.39	260.02	153.37	121.13	144.87	114.01	113.5	181.2	156.39	206.58	132.19	127.29	101.46	78.11	156.39
198902	102.74	143.81	127.25	132.74	206.37	124.91	262.41	180.81	217.67	149.29	158.3	158.55	183.15	111.11	113.6	158.74	133.86	119.95	139.4	100.47	312.87	192.78	243.31	139.37	136.43	145.29	123.17	112.13	157.47	108.5	120.5	225.38	245.51	131.24	132.06	282.8	136.31	99.59	110.51	188.19	158.55	261.34	153.6	117.54	145.84	114.95	113.56	185.08	158.55	212.41	137.83	128.74	104.31	84.17	158.55
198903	102.85	146.17	128.64	134.79	218.25	127.46	263.09	182.85	223.25	151.71	160.22	161.92	196.24	113.13	115.68	162.32	136.19	119.65	142.15	102.33	317.6	196.21	246.4	142.64	138.33	146.19	125.51	114.35	160.21	110.37	121.84	229.12	246.69	133.42	135.4	285.69	139.19	101.1	113.79	192.3	161.92	267.18	157.14	122.38	146.45	117.24	115.86	187.6	161.92	215.68	144.41	130.99	103.3	84.01	161.92
198904	100.65	147.24	127.51	133.84	225.16	126.99	262.03	186.62	224.78	152.9	161.42	163.27	202.76	114.08	116.63	164.3	136.59	120.25	142.87	102.16	318.34	199.46	248.24	143.24	139.09	146.8	124.61	115.66	160.59	111.34	122.78	229.49	247.51	135.45	137.23	286.52	140.18	100.2	116.61	194.76	163.27	268.29	157.49	119.51	146.65	116.86	115.71	189.07	163.27	217.81	152.97	131.71	103.92	84.39	163.27
199001	97.27	146.07	128.09	133.66	227.87	127.34	258.2	192.58	227.88	153.56	160.91	164.17	217.59	115.64	118.57	166.06	137.58	119.98	143.35	101.66	314.14	201.88	245.5	145.38	139.23	146.98	126.29	113.4	160.99	110.92	123.6	224.8	244.43	132.83	139.96	286.51	141.73	100.11	120.82	194.96	164.17	265.38	159.07	120.64	147.03	116.48	116.85	189	164.17	215.59	164.11	133.78	105.12	88.77	164.17
199002	110.67	147.28	128.35	132.91	228.63	128.27	250.31	191.68	226.96	153.06	159.49	164.85	230.49	117.07	123.04	167.91	138.87	119.75	144.56	102.61	305.25	202.57	240.86	147.66	139.2	146.82	124.07	116.56	161.42	110.77	125.67	215.33	239.22	133.45	141.87	283.16	143.03	101.23	126.94	195.32	164.85	260.87	160.46	125.68	146.86	117.41	118.31	189.31	164.85	216.73	173.26	135.86	104.5	86.01	164.85
199003	120.34	147.94	129.25	133.9	230.54	129.25	247.69	186.85	225.04	153.88	160.55	165.84	241.36	118.7	125.68	169.88	140.11	119.8	145.67	103.01	299.95	203.6	236.63	148.59	139.94	147.03	125.52	121.73	162.91	112.29	127.03	210.7	236.03	134.75	145.67	281.63	145.05	100.84	131.56	195.75	165.84	261.25	161.74	126.61	146.68	118.05	119.43	188.66	165.84	214.66	176	137.66	108.38	91.69	165.84
199004	117.64	148.07	128.58	132.7	229	129.68	240.99	188.14	225.19	153.31	159.44	165.2	251.16	119.61	124.84	170.39	140.68	119.32	145.2	103.44	292.94	202.35	238.84	148.99	139.89	145.75	124.28	121.56	162.81	111.04	127.05	203.34	232.01	135.3	147.3	278.54	145.36	100.53	133.94	195.16	165.2	255.85	160.84	125.45	146.11	117.17	119.28	186.59	165.2	216.73	177.53	138.01	106.9	90.02	165.2
